dept_name,title,silver_tsunami
Development,Senior Engineer,11644
Production,Senior Engineer,10189
Sales,Senior Staff,8685
Development,Engineer,4191
Production,Engineer,3611
Customer Service,Senior Staff,3453
Marketing,Senior Staff,3355
Human Resources,Senior Staff,2996
Finance,Senior Staff,2884
Quality Management,Senior Engineer,2874
Research,Senior Staff,2834
Sales,Staff,2650
Development,Technique Leader,1590
Production,Technique Leader,1457
Quality Management,Engineer,1051
Customer Service,Staff,1048
Marketing,Staff,1037
Human Resources,Staff,929
Research,Staff,880
Finance,Staff,875
Research,Senior Engineer,664
Customer Service,Senior Engineer,545
Development,Assistant Engineer,496
Production,Assistant Engineer,426
Quality Management,Technique Leader,398
Production,Senior Staff,390
Development,Senior Staff,329
Research,Engineer,244
Customer Service,Engineer,188
Quality Management,Assistant Engineer,125
Development,Staff,118
Production,Staff,99
Research,Technique Leader,94
Customer Service,Technique Leader,64
Customer Service,Assistant Engineer,22
Research,Assistant Engineer,21
Research,Manager,1
Sales,Manager,1
